,Ticker,Industry,Ratio
0,AACG,Consumer Defensive,-0.9382345243818675
1,AACI,Financial Services,Information not available
2,AACIU,Financial Services,Information not available
3,AACIW,Financial Services,Information not available
4,AADI,Healthcare,-0.19408242232451092
5,AADR,Industry information not found,Information not available
6,AAGR,Consumer Defensive,-0.8371768914528663
7,AAGRW,Consumer Defensive,Information not available
8,AAL,Industrials,5.579407372355542
9,AAME,Financial Services,7.049278939846694
10,AAOI,Technology,-25.69171641747374
11,AAON,Industrials,21.035018938135423
12,AAPB,Industry information not found,Information not available
13,AAPD,Industry information not found,Information not available
14,AAPL,Technology,24.96580696244461
15,AAPU,Industry information not found,Information not available
16,AAXJ,Industry information not found,Information not available
17,ABAT,Basic Materials,-8.379566518955492
18,ABCB,Financial Services,Information not available
19,ABCL,Healthcare,-4.248090371650045
20,ABEO,Healthcare,-1.5493027378461677
21,ABIO,Healthcare,1.9825944962834097
22,ABL,Financial Services,16.8255444314926
23,ABLLL,Industry information not found,Information not available
24,ABLLW,Industry information not found,Information not available
25,ABLV,Communication Services,0.26474624413166103
26,ABLVW,Communication Services,Information not available
27,ABNB,Consumer Cyclical,36.96555478268654
28,ABOS,Healthcare,0.8252570101678218
29,ABSI,Healthcare,-1.7314176235085819
30,ABTS,Communication Services,Information not available
31,ABUS,Healthcare,-2.938427439538352
32,ABVC,Healthcare,-1.1969988798681268
33,ABVX,Healthcare,-5.042789475119291
34,ACAB,Financial Services,Information not available
35,ACABU,Financial Services,Information not available
36,ACABW,Financial Services,Information not available
37,ACAC,Financial Services,Information not available
38,ACACU,Financial Services,Information not available
39,ACACW,Industry information not found,Information not available
40,ACAD,Healthcare,-29.239705457988293
41,ACAH,Financial Services,Information not available
42,ACAHU,Financial Services,Information not available
43,ACAHW,Financial Services,Information not available
44,ACAX,Financial Services,Information not available
45,ACAXR,Industry information not found,Information not available
46,ACAXU,Financial Services,Information not available
47,ACAXW,Financial Services,Information not available
48,ACB,Healthcare,-1.8877642737896494
49,ACBA,Financial Services,Information not available
50,ACBAU,Financial Services,Information not available
51,ACBAW,Industry information not found,Information not available
52,ACCD,Healthcare,-8.306454016298021
53,ACDC,Energy,3.2028657859280667
54,ACET,Healthcare,0.7540885081073426
55,ACGL,Financial Services,8.850304648757328
56,ACGLN,Financial Services,2.4324652200639347
57,ACGLO,Financial Services,2.782826880788654
58,ACHC,Healthcare,14.300351638866406
59,ACHL,Healthcare,1.395606384090536
60,ACHV,Healthcare,-1.9895289340101523
61,ACIC,Financial Services,-1.08147341409421
62,ACIU,Healthcare,-3.4040977588237924
63,ACIW,Technology,15.013424372179147
64,ACLS,Technology,15.67940993307052
65,ACLX,Healthcare,-14.8700252112149
66,ACMR,Technology,10.40250509241013
67,ACNB,Financial Services,Information not available
68,ACNT,Basic Materials,-44.185350081922444
69,ACON,Healthcare,-0.579505964660191
70,ACONW,Healthcare,Information not available
71,ACOR,Healthcare,14.797068405041287
72,ACRS,Healthcare,Information not available
73,ACRV,Healthcare,0.401196835066597
74,ACRX,Healthcare,0.08672616006179075
75,ACST,Healthcare,0.5247528911437738
76,ACT,Financial Services,Information not available
77,ACTG,Industrials,1.2446380823062462
78,ACVA,Consumer Cyclical,-25.625456850860953
79,ACWI,Industry information not found,Information not available
80,ACWX,Industry information not found,Information not available
81,ACXP,Healthcare,Information not available
82,ADAG,Healthcare,0.19430194286822122
83,ADAP,Healthcare,-5.321089599984721
84,ADBE,Technology,37.28731463527423
85,ADD,Communication Services,-0.3191233259873656
86,ADEA,Technology,6.697328029418351
87,ADES,Industrials,-7.306967741935484
88,ADI,Technology,16.248875845177327
89,ADIL,Healthcare,-0.18401789229082086
90,ADMA,Healthcare,80.07603290008926
91,ADN,Utilities,-0.5843722135358499
92,ADNWW,Utilities,Information not available
93,ADOC,Financial Services,Information not available
94,ADOCR,Industry information not found,Information not available
95,ADOCW,Financial Services,Information not available
96,ADP,Industrials,19.33977940047131
97,ADPT,Healthcare,-3.3721143337144457
98,ADSE,Industrials,-8.633103705759188
99,ADSEW,Industrials,Information not available
100,ADSK,Technology,84.96699298246217
101,ADTH,Communication Services,5.228140539378962
102,ADTHW,Communication Services,Information not available
103,ADTN,Technology,-29.86014225261329
104,ADTX,Healthcare,-0.29957465332455857
105,ADUS,Healthcare,16.5050540112287
106,ADV,Communication Services,8.04024325382181
107,ADVM,Healthcare,-0.359039473356935
108,ADVWW,Communication Services,Information not available
109,ADXN,Healthcare,-38.306368754734784
110,AEAE,Financial Services,Information not available
111,AEAEU,Financial Services,Information not available
112,AEAEW,Financial Services,Information not available
113,AEHL,Industrials,-0.1815102441879913
114,AEHR,Technology,41.627915049097965
115,AEI,Real Estate,-113.72159343098092
116,AEIS,Industrials,16.407154277598472
117,AEMD,Healthcare,0.40496240215480483
118,AENT,Communication Services,-13.817605824535857
119,AENTW,Communication Services,Information not available
120,AEP,Utilities,12.34260724751735
121,AERT,Industrials,Information not available
122,AERTW,Industrials,Information not available
123,AEY,Technology,-1.0556041260558804
124,AEYE,Technology,-8.799942618485565
125,AEZS,Healthcare,1.7849836316158207
126,AFAR,Financial Services,Information not available
127,AFARU,Financial Services,Information not available
128,AFARW,Financial Services,Information not available
129,AFBI,Financial Services,Information not available
130,AFCG,Real Estate,Information not available
131,AFIB,Healthcare,-0.09510978370032827
132,AFJKU,Industry information not found,Information not available
133,AFMD,Healthcare,0.13581814590119315
134,AFRI,Consumer Defensive,281.2821648664014
135,AFRIW,Consumer Defensive,Information not available
136,AFRM,Technology,-21.253173116166938
137,AFYA,Consumer Defensive,4.21124881165059
138,AGAE,Communication Services,1.8789247485966698
139,AGBA,Financial Services,-0.8319109362158834
140,AGBAW,Financial Services,Information not available
141,AGEN,Healthcare,-1.5688554152797747
142,AGFY,Industrials,-0.2471340115339802
143,AGIO,Healthcare,-1.8553049598778846
144,AGMH,Technology,2.663198358686693
145,AGNC,Real Estate,Information not available
146,AGNCL,Real Estate,Information not available
147,AGNCM,Real Estate,Information not available
148,AGNCN,Real Estate,Information not available
149,AGNCO,Real Estate,Information not available
150,AGNCP,Real Estate,Information not available
151,AGNG,Industry information not found,Information not available
152,AGRI,Consumer Defensive,-0.6770806295672281
153,AGRIW,Consumer Defensive,Information not available
154,AGRX,Healthcare,-0.22248300720906283
155,AGYS,Technology,120.40112989740206
156,AGZD,Industry information not found,Information not available
157,AHCO,Healthcare,5.811101996051765
158,AHG,Healthcare,-5.331227094459241
159,AHI,Technology,-39.55019912897359
160,AIA,Industry information not found,Information not available
161,AIB,Financial Services,Information not available
162,AIBBR,Industry information not found,Information not available
163,AIBBU,Financial Services,Information not available
164,AIH,Healthcare,-11.230783802843039
165,AIHS,Financial Services,-1.82336906926722
166,AIMAU,Financial Services,Information not available
167,AIMAW,Financial Services,Information not available
168,AIMBU,Financial Services,Information not available
169,AIMD,Healthcare,-1.0222597861548994
170,AIMDW,Healthcare,Information not available
171,AIP,Technology,-5.789700145192854
172,AIQ,Industry information not found,Information not available
173,AIRE,Real Estate,-22.35353283944833
174,AIRG,Technology,-4.148459277403552
175,AIRL,Industry information not found,Information not available
176,AIRR,Industry information not found,Information not available
177,AIRS,Healthcare,37.58198862270651
178,AIRT,Industrials,-539.1747239263804
179,AIRTP,Industrials,-541.3384539877301
180,AITRU,Industry information not found,Information not available
181,AIXI,Technology,-4.333197167577712
182,AKAM,Technology,19.481539814370723
183,AKAN,Healthcare,-0.3162513511923919
184,AKBA,Healthcare,13.121530617107458
185,AKLI,Healthcare,0.5112783574193376
186,AKRO,Healthcare,-4.431654142836193
187,AKTS,Technology,-1.0967076592649045
188,AKTX,Healthcare,-1434.5352641934703
189,AKYA,Healthcare,-3.8014281450583436
190,ALAR,Technology,-30.401667447306792
191,ALBT,Real Estate,-3.926748707103602
192,ALCO,Consumer Defensive,28.00077359367736
193,ALCY,Financial Services,Information not available
194,ALCYU,Financial Services,Information not available
195,ALCYW,Industry information not found,Information not available
196,ALDX,Healthcare,-1.0776161345157915
197,ALEC,Healthcare,-0.20716959772688937
198,ALGM,Technology,16.316197889406602
199,ALGN,Healthcare,22.34813816925734
200,ALGS,Healthcare,0.1783081984962406
201,ALGT,Industrials,5.9726216861915296
202,ALHC,Healthcare,-10.743991009093076
203,ALIM,Healthcare,158.08835424354243
204,ALKS,Healthcare,13.708172212720687
205,ALKT,Technology,-33.583232859439526
206,ALLK,Healthcare,-0.6998664623175851
207,ALLO,Healthcare,-0.19574536573930276
208,ALLR,Healthcare,-0.26304134752693753
209,ALLT,Technology,-0.8377222913256955
210,ALNT,Technology,9.797129039064808
211,ALNY,Healthcare,-76.49948554603385
212,ALOT,Technology,9.196525739024555
213,ALPN,Healthcare,-13.86619962495998
