,ticker,income
0,AADI,13737868
1,ABCL,885049920
2,ABEO,70354456
3,ABIO,-12391844
4,ABOS,-41700616
5,ABSI,160779200
6,ABUS,233304640
7,ABVC,12573350
8,ABVX,371590048
9,ACAD,4318115328
10,ACB,275802976
11,ACCD,846411328
12,ACET,-90238536
13,ACHC,8686119936
14,ACHL,-97713664
15,ACHV,65782692
16,ACIU,236760560
17,ACLX,2166604288
18,ACON,2500548
19,ACOR,170513536
20,ACRS,-25821634
21,ACRV,-26476522
22,ACRX,-929082
23,ACST,-6939269
24,ACXP,39208072
25,ADAG,-10920515
26,ADAP,529430112
27,ADIL,1915583
28,ADMA,991726144
29,ADPT,609924864
30,ADTX,7121495
31,ADUS,1673359616
32,ADVM,40071956
33,ADXN,426969376
34,AEMD,-4111916
35,AEZS,-27953190
36,AFIB,6723078
37,AFMD,-16425323
38,AGEN,294740352
39,AGIO,726923456
40,AGRX,4843130
41,AHCO,3423481856
42,AHG,75961792
43,AIH,302591008
44,AIMD,13953331
45,AIRS,465619456
46,AKAN,5194233
47,AKBA,224052032
48,AKLI,-37077240
49,AKRO,714694336
50,AKTX,30461007872
51,AKYA,232534400
52,ALDX,48138844
53,ALEC,124463048
54,ALGN,18527928320
55,ALGS,-15039171
56,ALHC,1254339200
57,ALIM,258100000
58,ALKS,3993276672
59,ALLK,123410464
60,ALLO,87204752
61,ALLR,3967624
62,ALNY,23659687936
63,ALPN,913592512
64,ALRN,12317067
65,ALT,236111104
66,ALVO,3432137216
67,ALVR,84030536
68,ALXO,482130144
69,ALZN,5090396
70,AMAM,635263296
71,AMED,3565545728
72,AMEH,1753093120
73,AMGN,173607387136
74,AMLX,644934656
75,AMPH,3158976000
76,AMRN,28310452
77,AMTI,-9474765
78,ANAB,111178392
79,ANEB,40182536
80,ANGO,246362272
81,ANIK,288954400
82,ANIP,1132386944
83,ANIX,91784080
84,ANL,692784384
85,ANNX,9449870
86,ANTX,483799712
87,AONC,547652096
88,APDN,3588407
89,APGE,754816640
90,APLM,19980888
91,APLS,5827373056
92,APLT,183956240
93,APM,4524989
94,APRE,-8535257
95,APTO,2466292
96,APVO,-10434448
97,APYX,75984688
98,AQST,154322240
99,ARAV,3550775
100,ARAY,352898656
101,ARCT,488622240
102,ARDX,1215755776
103,ARGX,24020731904
104,ARQT,217685472
105,ARTL,-8463126
106,ARVN,968809984
107,ARWR,3070779648
108,ASLN,17490278
109,ASMB,6619198
110,ASND,7001839616
111,ASRT,69709064
112,ATAI,24704410
113,ATEC,2334984192
114,ATHA,-79183912
115,ATHE,7426124288
116,ATNF,-745048
117,ATOS,-1989563
118,ATRA,18920844
119,ATRC,1666541952
120,ATRI,639932160
121,ATXI,960767
122,ATXS,129138688
123,AUGX,234493200
124,AUPH,1052935744
125,AURA,209732928
126,AUTL,188061040
127,AVAH,1888749312
128,AVDL,900076800
129,AVGR,10590756
130,AVIR,-343903168
131,AVRO,-43469480
132,AVTE,405706688
133,AVTX,4778575
134,AVXL,569695552
135,AWH,25663294
136,AXDX,81915264
137,AXGN,367965600
138,AXNX,2673534976
139,AXSM,3236114176
140,AYTU,12022346
141,AZN,127238152192
142,AZTA,2548857088
143,BACK,6760271
144,BBIO,7452729856
145,BBLG,-3136141
146,BCAB,-43042744
147,BCDA,11777979
148,BCEL,-10399102
149,BCLI,12248949
150,BCRX,1764763264
151,BCTX,53272292
152,BCYC,60716224
153,BDRX,-2160407
154,BDSX,175623312
155,BDTX,22750052
156,BEAM,1521647616
157,BEAT,14780451
158,BFRG,12447114
159,BFRI,679765
160,BGNE,252420014080
161,BGXX,46235388
162,BIAF,10860106
163,BIIB,42595360768
164,BIMI,21482682
165,BIOL,16386261
166,BIOR,104677248
167,BIVI,46995896
168,BJDX,-865941
169,BLFS,645590016
170,BLRX,1587709696
171,BLUE,490223488
172,BMEA,314666304
173,BMRA,9829507
174,BMRN,18357964800
175,BNGO,9869749
176,BNOX,1730078464
177,BNR,-538192320
178,BNTC,-16523827
179,BNTX,6445996032
180,BOLT,-59762152
181,BPMC,4716440576
182,BPTH,3841805
183,BPTS,282304192
184,BRKR,11094342656
185,BRNS,-31319532
186,BRTX,-2706304
187,BSGM,27789696
188,BTAI,104843456
189,BTCY,31560008
190,BTMD,200824768
191,BTTX,19649916
192,BVS,762738752
193,BWAY,135780928
194,BWV,9974746
195,BYSI,6934625
196,CABA,720005952
197,CADL,17962150
198,CALC,3543744
199,CALT,1096973440
200,CAPR,104453512
201,CARA,-5307348
202,CARM,17976944
203,CASI,77683496
